"","G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","G11","G12","G13","G14","G15","G16","G17","G18","G19","G20","G21","G22","G23","G24","G25","G26","G27","G28","G29","G30","G31","G32","G33","G34","G35","G36","G37","G38","G39","G40","G41","G42","G43","G44","G45","G46","G47","G48","G49","G50","G51","G52","G53","G54","G55","G56","G57","G58","G59","G60","G61","G62","G63","G64","G65","G66","G67","G68","G69","G70","G71","G72","G73","G74","G75","G76","G77","G78","G79","G80","G81","G82","G83","G84","G85","G86","G87","G88","G89","G90","G91","G92","G93","G94","G95","G96","G97","G98","G99","G100"
"G1",0,2.97085072223871,0.371740969938005,0.486233668236031,0.228949885314043,1.41143391405461,0,1.08109315627012,0,1.72247251743989,2.13362674354898,0,1.43984482395678,2.53648506163641,1.08763510524156,3.14410560463533,1.0529330473363,0.644513602388579,0,0,1.92660236408682,0.715236667190065,1.73121290260068,1.02948916714748,1.89177734550427,0,0,1.18072538493067,3.27215058769253,0.83242097749756,0.275477158358637,0.762705233877343,0.0570628968777422,0,0.268812217000664,3.37001035933016,3.70654179614734,0.102265455498243,0,0.201437162835314,0.90448545215836,2.14356371427566,0,0.426170986656729,0,1.59366337701533,1.96943220225107,2.45122778648869,1.10548830249437,1.20939491512954,0.482386701661258,0.356352621676041,0.881996613697921,1.11138221990906,0.28089996481977,1.2959653274529,0.168776646424749,0.389683936170835,0.792875536507826,1.50676319346937,2.51447800264086,1.42967015608312,0,0,0.815196548424682,0.715188157026014,0.124091024786173,1.48205917278866,2.9423696537605,0.733531865673948,3.19612006104206,2.71690310867742,3.00635758589337,2.52647868114132,2.54860735886041,2.04257170801259,1.68515848681404,0,0,0.144937917228282,1.4959328047149,0,0,1.1487920437957,0,0.0278742024722617,0,0.749499580348293,1.29174514213483,1.64048239976719,0.739605411688058,0,0,0,0,0.0336011346146464,0.00457892029218544,0,1.04530239737255,0
"G2",3.76693826908736,0,0,3.74431147669009,0,0.0728426482038361,0,1.0866514065689,0,0,0.929296011119093,0,0,0,0,0.599575087646626,0,0,0.095297514439391,0,0,0,2.10031319263118,0.635641912507928,0,0.886379994760675,0.289002649108874,0,0,1.15619223964872,1.31031028562596,0,0.150937068287375,1.39434972673935,0,0,0.505822634211731,0,0,0,0,0.546286901992001,0,0,0,0,0,1.17898303366269,0,0,0,0,0.0136837725133205,0.023508470744807,0.262933774943652,0,0.118668305905704,0,0,0.12738090041759,0.46783081675498,0,0,0,0.420978775822169,0.597066372362255,0,0.722150709783354,1.3432254790483,0.137317295423111,0.515710837417992,1.93385819747634,0.856773908968829,1.57486141562256,0,1.31460311026698,0.776530096950748,0,0,0.109969787346804,0,0,0,0.850969243878499,0,0.277407947552581,0.176090570746022,0.125705270212127,0.543362967300932,0,0.10368173919474,0.270994029512892,0,0,0,0.105762933565502,1.02338720602498,0,0,1.99555314855433
"G3",2.38940982302451,0,0,0.179872032070682,0,0.250863396705499,0,0.856943793778081,0,0,0,0,1.26175270185645,0,0,1.39981427706908,0,1.4927926636407,0,0,0,1.24081487543406,1.30171643627336,0.811805465369565,1.00943887058057,0,0,0.346264826478102,1.49378863149405,0,0,0.307043555743966,0,0,0.704968391645519,0.331605672689272,1.94703699081072,0,0,1.94544695108884,1.4239781791989,0.481367855125886,0,0,0,1.33215085785256,0.93557926918044,1.17963384552572,0.836453696436403,0.483442558293538,0.843067768170623,0.629214916299114,1.62387236743456,0,0.937802573344482,0,0.579802352426396,0.813950248477776,0.183849016125371,0.524347836855182,0,0.977592686868393,0,0.0169938022080998,1.0427478919958,0.963786926594595,0,0,1.09537624224607,0,0.598627403484722,1.12573903565009,1.52987048084525,1.47151929367472,0.034511775363456,1.58063102404345,1.0665848524963,0,0,0.0646263451993617,0.529008008867113,0,0,1.05456935266177,0,0,0,0.41281576960748,1.03661614643298,0,0,0,0.786834124148463,0,0,0,1.55085310336598,0,0,0
"G4",1.53351778301284,3.45810491959418,0,0,0,0,0,0.798104705239689,1.71243190784048,0.0425409268886164,0,0,0.10383342571845,0,0,0.583995093183966,0,0.00904568946869438,0,0,0.798282642902392,0.0584229286968797,2.72845333760108,1.97954505345706,1.20503290172179,1.66492436463387,2.12813165386273,0.211203460336645,0.488851976290419,0.936077539490311,1.92990700107443,0.17681810408584,1.68188664059304,0.609144984788654,0.557902865115956,0,0.926666727396103,0,0,0.966476940245912,1.05875139395767,0.413863440234648,0.165572252817099,0,0,0.0347927157556279,0.523988555567595,1.74948642849578,1.11718007070687,0.0561805687305868,0.969752777808219,0.0233000032513987,1.18483616527709,0,0.975941008791694,0,0.540026000201482,0,0,0.00156210378663556,1.69573236672309,1.24900672604999,0,0,0.283227164506529,0.654395640810796,0.394952796562549,1.13673104795027,1.64508112441565,0,2.54409797481273,2.98149751260625,1.50224153940529,1.72735807264355,0.179055179604482,2.22160536205437,2.97902979889899,0,0,0,0.720792714993764,0.0404344825680274,1.19390012816035,0.641102311846679,0.709975456534398,0.491908022984501,0.259185942567692,0,1.77523080587664,1.4040764777694,0.436113256514679,0.606681871069323,0.889543089668746,0,0.280477815257851,0.602195726821416,0,0,0,2.1158105925342
"G5",0,0,0,0,0,3.15310315088776,0,0.332257048443437,0,0.505223113927872,2.25253116414862,0.69642084010687,0,0.982535912795011,3.98405695432315,1.91910332329196,1.0562551612322,0,0.674322757139047,1.68603095121429,0.0995299202275661,0,0.161720463218767,0.367873412230845,0,0,0,0.770279078833459,0.881494784925823,0,0,0.35590909782906,0,0,0,1.86391665575588,0.176210287848859,0,0.460320498948013,0,0,0.111793979011946,0,0,0,0.109281358727869,0.011844377706735,0.267098265038466,0,0,0,0,0.761246760435123,0,0.0830254994222495,1.03395211983478,0,0,0.493834566271733,0,0.92791783278816,0,0,0,0,0,0,0,0.41246939144044,0.745489494614338,0.183592363836492,0.0808345941070671,0.910683173475139,0.673279797470304,0.970782602056633,0,1.28857690269336,0.261584761350485,0,0.289894878743686,0.513920951418935,0.445856896067193,0,0.421527292297987,0,1.63602241976622,0,0,0.285834462840953,1.07351804880371,0,0,0,0,0,0,0,2.85965023995774,0.528282003168818,1.46237224549718
"G6",0,0,0,0.786653173611117,3.13949780039561,0,0,0,1.04266132074061,2.13706736342731,1.61501629514295,1.40672379582045,0.134812840404896,1.98762882290312,1.10166679536697,1.64823479235564,2.05991884445176,0,0,0,0,0,0,0.233121726935471,0,0,0,0.627602326893682,0,0,0.278548321566121,1.19720859773948,0,0,0,3.25969626352057,0.462908515559816,0.354959418753237,1.59895627606911,0,0,0.17217399523474,0.551608855661923,0,0,0,0,0,0.75036920787202,0,0,0,0,1.11264028453436,0,3.13227753911961,0,0.435813023162374,0,0.124129767719464,0,0.604655319515654,0,0.90062179994518,0,0,0,0,0,0.508597485352904,0.664040788519253,0.444624200096732,0.214147638855914,0.203335163858811,0,0,0.444153983275161,0,0,0,0.240492529113025,0.67710713987424,0,0.486556730069561,0,2.15083345511204,0,0,0,0.847116279182001,0.52673341319079,0,0,0.303797166977353,0,0,0,1.96557990530963,0.374311660461646,0.635321709364448
"G7",1.08448193853443,0.47069407969687,0,0.11913993093339,0,1.51551240984028,0,0,0,0,0,0,0,0,0,0,0,0,0.991628873173562,1.02877615628388,0,0.0127148496691043,0,0,3.95886009079037,0.246455898065944,0.349298181695877,0,0,0,0.248929052188148,0,0,0,1.76023560676543,0,0,0,0.193084528174572,0.398158392204764,0,0.694984999119545,0,0.463125104904137,0,1.08127412152695,0.180357212493766,0.268188515335595,0,0,1.02179491274678,0,0,0,0,0,1.28932163537728,0,1.22142570805221,0.606882542841421,1.25628351984745,1.06556291860904,0,0,0.270970579051449,0.412682173991221,0,2.47589643201403,0.0402057692664841,1.7756425242121,0,0.692747405526269,0.108086014043093,0.499768476124274,0.567048944849139,0,0,1.36052118463089,0,1.87072416210702,0,1.13166780931179,0,0.351674622997951,0,0.488128434060632,0.464482323170868,0,1.26587097715552,0,0,0.611386753278311,0,0,0.862116787936996,0,0,0,0,0
"G8",1.99043413867095,0.226172275031134,1.19645004152642,1.15792695732298,0.290616690427921,0.212043461641803,2.48556338477417,0,0.0250869177751918,0.197733838484613,0.482292991341445,0.26696761710745,1.30027264487971,0,0,1.35738907354713,0,1.92426516144741,0.0781283535383335,0,0.262324220248906,2.15775300094007,2.17773624956147,1.55997296297641,0.823118157465963,1.05271314289282,0.197620155898778,0.785815428987794,2.46261600730847,0,0,0,0,0,0,1.2935383975298,2.10994149887917,0,0,0.453480109845586,1.1680191420062,0.725012378629472,0,0,0,1.89623055250899,2.43846791890028,3.02290138145241,1.51261676020252,1.49524675832195,0.266937899899008,1.64651425219449,2.25892929622981,0.079265704101895,0,1.44674890159029,1.41915632602513,0.631397442146425,0,0.812238516608996,0.476900092803354,2.50133590345786,0,0,0.671331107897005,0.823611470722963,0.353862595608663,0,1.70414828709871,0.611328512485775,2.88285801656885,2.28721643467437,1.82776581687299,2.15179258520082,1.08438421178584,1.15673194980314,1.24900681600395,0,0,0.66791056432933,0.405981907096769,0,0,1.12775376329168,0,0.441000676794133,0,0.413851823849938,1.3547481423522,1.05038927420588,0.138502304804577,0.237539485734748,0,0,0,0,1.75425164934141,2.36176083070949,0.116641391160941,0
"G9",0,0,0,1.65276932645095,0,0,0.667086383513942,0,0,1.29649640383233,0,0,0,1.0315048009431,2.12809429589912,1.8609556246716,2.25728334332457,0,0.77324574629612,0,0.66923455988697,0.0829565052260883,0.225625452443564,0,0.896639457993999,0.371708532635844,0.774333504112647,0.812215931805041,0,0,1.40578822379964,0,0.425791933276828,0,0,1.72005268906517,0.403409519604278,3.63439735572483,0.362300547799565,0.388508601153137,1.78701754680571,0,1.94490262349866,0.713962618334038,0.277515354345379,2.45654686938135,0.245117476581564,0,1.62000377571039,1.36339057300772,1.88836477507733,0,0.947271732923958,0.528812149724262,0,0.408344661009881,0.836965122722885,0.681380979104127,0.3710187469815,0,0.0284384690949128,0.519754412127945,0,1.53596429933862,0,0.478079950264347,0,0,0,0,1.62870659743188,1.02426558814692,0,0,0.154159016770797,0.306758660777469,0,1.74028654902829,0,0,2.27555305577783,0,2.29767026583649,0,2.27333842950753,0,1.81630681582176,0.526324215673057,0,2.28915219422113,0,0.387601798608787,3.40430360963925,1.72208803817222,1.78370969649799,1.31737628388804,1.09900372132186,0,0,1.92770095741432
"G10",0.983990933998706,0,0,0.103255581943062,0.853116419349278,1.95197589225029,0,0,1.71381114108613,0,0,1.26281480028559,0.984346284976645,5.54805756813222,0,1.4355757934761,2.64859560498184,0,0,0,0,0,0,0,0.341012730747342,0,0,0.491121373415499,0.319930128464961,0,1.63260805217065,0,0,0,0,0.936825579748789,0.153272308723425,0.335145423952472,0.617757238193789,0,0,0,4.82825611915703,4.44778745970357,0.99117158171848,0,0,0,0.561640464692675,0.279736070172691,0,0,0,0,0,3.71196671623923,0.650278610807893,0.179304390699428,0.77576532167271,0,0.330757908774762,0.437124287636502,0.596266320578205,2.51477294009493,0,0,0,0,0,0.116156761066448,0.817255681946878,0,0,0,0,0.124582863011117,0,0,0.321003927520358,0,0,0.229882050605034,0.352566088760541,0,0.12927845093103,0,0,0,0.538028847572397,1.44285404158694,2.84569068570498,1.97573097962558,0.929084514018176,1.01093822800564,0.884235370628881,1.2271063830637,0,0,0,1.23183509280943
