,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,G33,G34,G35,G36,G37,G38,G39,G40,G41,G42,G43,G44,G45,G46,G47,G48,G49,G50,G51,G52,G53,G54,G55,G56,G57,G58,G59,G60,G61,G62,G63,G64,G65,G66,G67,G68,G69,G70,G71,G72,G73,G74,G75,G76,G77,G78,G79,G80,G81,G82,G83,G84,G85,G86,G87,G88,G89,G90,G91,G92,G93,G94,G95,G96,G97,G98,G99,G100
G1,0.0,1.6534628158211815,1.4476902092614026,0.41088767943403487,2.3872069490024437,1.8073244806584992,0.0,2.6848540929917233,0.0,1.1030160194670913,2.1638762135906635,0.8514888174927331,0.0,2.9283657922355424,2.9082702471533937,3.8098413319534776,0.738722707044153,1.5854246973342216,0.0,0.0,3.762917962043504,0.9694907050480281,1.1868624920069404,1.3586220086789726,1.4128017530747978,1.5769197606911034,0.9481196040444403,1.4436929351460657,2.7515257157567707,2.332858235138805,0.0,1.381176970086718,0.44069298562063464,1.9472593577877015,1.6407251583012286,4.022546776736732,3.7192586481395598,0.0,0.7028422757797903,0.6899935093303315,0.4900599012232023,3.387095834057942,0.14443493623367606,0.05100950134827638,0.0,1.287898553165398,1.9890541704444162,2.4660991244911497,1.1336200688376048,2.4354575502846942,0.4141363901739404,1.4456444782769349,1.8221555391423783,1.9445250579473792,1.2110824876591186,1.9035044916806456,0.9617935784383504,1.5482452531199986,1.0043351517407646,2.67334320865531,2.802118703287304,2.5329718352134742,0.1207873470994457,0.11521251189548037,2.0846821646150047,1.1368163766389372,2.056748342897904,1.7669543974714481,2.3858793877346396,2.116541872123629,2.2333832592093428,2.541062741118273,2.8926459725219384,2.2491966375017225,2.35488997533716,1.8717175430681237,1.6582295128671611,0.5649364175777424,0.12959988760470195,0.0,2.1434354321959947,2.873457271002514,0.0,2.3318996767690203,0.2314809252280587,1.463496278048846,0.15572757864141873,0.7762078864794931,0.9561063577558232,0.0,1.0718291269331852,1.6629665951096249,0.0,0.29732931743353724,0.0,1.2125449143936133,0.0,2.6189716097008793,3.282322943880651,0.0
G2,0.014326440999907241,0.0,0.3612376434771601,0.5421866467739951,1.0068906368070198,2.1355831435611603,0.2050720068788369,0.5272790325490675,0.0,0.0,0.4324125675926596,0.0,1.197770623062585,0.0,0.7154442237869578,0.16230546954138614,0.06506425267415486,0.0,0.0,0.0,0.23568037271666842,0.0,0.33736654148606166,0.0,0.0,0.40842726740476265,1.1148565814810565,0.0,0.0,1.0378006710916634,0.0,0.0,0.021617459149403582,0.9265288878803797,0.7309482708630272,0.0,0.0,0.0,0.0,0.028957774698705047,0.0,0.1408131004651664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6655440571138902,0.0,0.0,0.0,0.0,0.1180708153047963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11040780098881349,0.0,0.0,0.0,0.0,0.03373521814910252,0.6383084902845758,0.0,0.25125921067093154,0.0,0.16183188556686315,0.0,0.0,0.0,0.0,0.3611458466963866,0.0,0.0,0.0,0.0,0.0,2.9335587292825847,0.7878698214696979,0.06832602828474793,0.17266393979501593
G3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18819195658049825,0.0,0.0,0.0,0.0,0.06115758446531647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G4,1.0064563619576408,1.6488898209823695,1.402764081331048,0.0,0.7944696676562731,0.3856972718348489,1.160960274082977,1.375262408962157,0.7456462764626545,1.0060842982510223,0.0,0.030965278751035625,1.955025182687136,0.32184317158186354,0.030075910711741066,0.7965917832924942,1.2606105596633754,1.2007870166033492,1.1455977475090382,0.6942956420044776,1.373545005063788,0.49976303456242444,1.6328753888681173,1.923840763634951,0.7871982165348772,1.0117015418642339,0.6573993288749393,1.1620099823756165,0.5747944654312689,0.29164590529565726,1.3517290347662922,0.3511972317388395,1.6535843694949837,1.1493707139362934,0.9362729861245721,0.6608084808617108,0.3164562984418563,0.42584994853829305,0.1667165347944991,0.0,0.7590323978990199,0.8377814816234509,0.7435104630702909,0.0,0.5834799051042898,0.7321113720348,0.9303862596265722,1.2111274710654376,0.24934245858365925,1.3482439010434508,0.7445207770840901,0.922575181285303,0.235059499437498,0.7384348187125152,0.25891928134760805,0.0,0.9156860947890552,0.42123738159996155,0.2746722822702803,1.9165869455348494,1.2544186822907015,0.417543127668752,0.6028555815956942,0.3542406917939507,0.8875022895707158,0.4432305773668474,1.389778473688277,1.7416237937927173,1.5244077823257092,0.1056057781410112,1.0269395825187155,0.630964374683966,0.6601807733373218,1.654544501475437,0.49362113552046627,1.9276674710916102,1.676837522221821,0.0,0.28008544382376344,0.2656235713959742,0.47881245890411067,0.0,1.1630408437166897,1.430498848854185,0.4289270498796074,1.2854359193848917,1.1932737612294637,0.07996276359694156,2.010436805189301,0.5490384340163759,1.8484335986892146,1.4598827035725115,2.812438735182346,0.6506425336048682,0.7720906921094998,0.7527382207638003,2.2506015673681583,1.1216453792905465,0.7825006880874174,1.7935895809944626
G5,0.0,1.7835610681408736,0.0,0.0,0.0,2.700831957615223,0.5480569936483939,0.7886761509841137,0.0,0.0,2.6584067839770116,0.0,2.6707143979159587,1.7189601194125366,3.2891343629885204,0.9655408175294361,1.499608246987115,0.03228117951671462,0.0,0.0,1.7678951550375064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41423164308340477,0.0,0.0,0.09996935759788061,0.0,0.0,0.23141809807164107,0.0,0.0,0.0,0.0,0.0,0.10496341386904746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2550468109082005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18165133599121025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6615234768146706,2.2161615719732315,0.0,0.4326727362984472,0.0,0.0,0.07400603631635062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.376818040771854,1.476837505673251,0.0
G6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20441070740309383,0.0,0.4299590060497461,0.0,1.5851848749748776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004804912907521485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G7,0.0,0.0,1.0464477748411292,0.0,0.0,0.29610518215260884,0.0,0.0,0.0,0.0,0.0,0.0,0.22978789563613852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39545135500189404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2173969661430406,0.011985148565911782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26270982126674247,0.0,0.0,0.0
G8,1.3715718370902763,1.268966212244763,2.132044181975019,1.3672475205650296,1.7772149480414534,1.1340815332055918,0.6626759462321429,0.0,0.2749811538577438,0.5116955343183226,1.7082815127329618,0.0645608027245862,0.0,0.6232697305265364,1.7195508653643323,1.1538021058003027,0.3152263683317127,1.606429747411689,0.1206499870592989,0.0,2.0759609099334253,0.9901761228117886,0.14350977965686773,0.9797096618620048,0.24995014642397567,0.6626243415400936,0.0,0.0,0.4018230803142725,0.312391419999792,0.0,0.0,0.0,0.0,0.0,2.929210404205397,1.4685331143223457,0.0,0.0,0.0,0.7433717649512914,1.6863115638393085,0.0,0.0003670295108929779,0.0,0.7606770625549962,0.6797364864849618,0.4396723818150174,1.1282375252095214,1.1584911977269077,0.40404953362931995,0.7864489579613594,0.8886714700001651,1.928716799574732,0.009749873300212583,0.5925564298855927,0.1373786708134178,0.0,0.0,1.7252293988993028,0.2367897200406457,0.8569135667954189,0.0,0.0,1.3030443422398819,1.1112615544887867,0.8487527520053129,0.0,0.48840700197550085,0.2959610890020842,1.535270277333563,0.46911616588014315,0.4721385273980134,0.7978079563765186,1.1506660753378826,1.1406711056745273,0.27010902010379056,0.0,0.0,0.4299508138599944,1.3933573494586367,1.292359042211085,0.07909909056030216,2.4745237106328677,0.0,1.185466559151185,0.0,0.0,0.5554293460945336,0.02952958013007311,0.0,0.822303308366482,0.0,0.0,0.0,0.0,0.0,2.57753678200013,1.2070436902545696,0.0
G9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8274359920008203,0.0,0.0,0.10966298269741409,0.32280597074626527,0.0,0.0,0.5096606644671068,0.0,2.1178226792489974,1.610790444393485,0.0,0.0,0.0,0.0,0.2372584624523915,0.0,0.0,0.12702920483047,0.0,0.0,1.1781698396726368,0.0,0.0,0.0,0.0,0.40368837426846754,0.0,3.0695022568352037,1.049168061862976,0.0,1.5536198695751546,0.0,1.7501848865542675,0.03307176134996356,0.9724252050279988,0.3490068396304661,0.0,0.0,0.28024900563243393,0.0,0.16277772464681456,0.0,0.0,0.0,0.8175960828996104,0.0,0.0,0.49099397000928446,0.6215556063232295,0.0,0.0,0.0,0.1876273691382726,0.4583079167127035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1375091100697319,0.10712491345016516,0.8239877871106865,0.05281176297067091,0.0,0.6752548174306346,0.0,1.3156645796895776,0.0,1.590769179907273,0.4464125278241739,0.0,0.7603241750588478,0.0,0.0,2.745668368988921,0.3258296051736283,1.1835426436023575,0.0,0.0,0.0,0.0,1.737407031567242
G10,0.5418147252858563,0.8027922610999768,2.2053633922718863,2.5970320147409636,0.6973711300790968,1.9761770374286616,2.9899624120392723,0.6766706316407348,1.7271252129982957,0.0,0.0,2.2138217823435826,1.2803583114316086,4.171349750945292,0.0,0.5188923268460303,1.4941801262978085,1.3600703602378725,1.4108050276942892,0.7978484011168085,0.0,0.04298665786618981,0.0,0.2128506382859576,1.569061113984735,0.13332143540310032,0.4595049907683412,0.7860830989772525,0.0,0.0,1.4788701795645793,0.6588340265776861,0.10462109180779285,1.2602817466617158,0.5512494341795211,0.4326016288408273,0.0,1.1347785908475692,0.2225783941223773,1.6110067774859096,1.1236240756266398,0.7125478933210162,4.882146962757639,2.430104414867759,1.833114690585144,0.0,0.6025207174368763,0.3847970393426068,0.09513211311880093,0.4721448984624409,1.6017815386199472,1.1077182576732627,0.0,0.7984237560130352,0.35076793044691135,2.2920512251207077,1.2067106855717806,0.4082060382024922,0.8241355996678458,0.17794677937336903,0.594736133786581,0.7715265141526135,1.6451097953259428,2.2865593988555237,0.0,0.384763479958247,1.6167866007327902,0.02153834610332929,0.0,0.2554160695041749,0.3463019282309826,0.0,0.0844800531422109,0.08079786352136026,0.0,0.35039758048100034,0.2126086145977853,0.7677330458915865,0.8478188299796608,0.5265048484536049,1.309422555122816,1.6162296238159428,0.6424545836191989,1.0849940148642392,0.6370920313406123,1.899714069323992,0.41917822750016914,0.0,1.2426082618768144,0.8088158239899942,3.3365694317079377,2.940163078984127,2.0358375176195276,1.961060913752125,1.6252554620457786,1.1620400232933512,0.6206298239414517,1.0229084287598724,0.45732258555174504,2.6298005384827534
