,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,G33,G34,G35,G36,G37,G38,G39,G40,G41,G42,G43,G44,G45,G46,G47,G48,G49,G50,G51,G52,G53,G54,G55,G56,G57,G58,G59,G60,G61,G62,G63,G64,G65,G66,G67,G68,G69,G70,G71,G72,G73,G74,G75,G76,G77,G78,G79,G80,G81,G82,G83,G84,G85,G86,G87,G88,G89,G90,G91,G92,G93,G94,G95,G96,G97,G98,G99,G100
G1,0.0,0.9734450156791039,0.0,1.1531418591345524,0.8032672157619489,2.105521306816791,0.7453130135832899,1.449619594661761,0.0,1.3735793907355045,2.615278308626089,0.9859374434973017,0.5145267458077173,2.379467721983595,3.0488011111112616,2.6510126903681046,0.5857201391285417,1.3217836364586995,0.0,0.0,2.155106573622758,1.1525211888170537,1.4700996960880646,0.9996739744834597,2.3332330965180343,0.2845104038734887,0.0,1.4743223552000437,2.790615571534106,1.0714598634745176,0.0020481119019242584,0.41559355625867533,0.8638102793303215,1.0376150629022816,0.4827649734513557,3.831188387809671,2.7828552075294954,0.14961576381906663,0.09673081436076247,1.9129158939439959,1.0262332871588136,1.9762990738658008,0.0,0.8693270078334523,0.0,1.7246035906860009,1.4651488864064701,2.2835693768756196,1.142358057424803,0.9391682432368325,0.8525271818502114,1.1742877140334798,1.5862039607538603,0.41229348486542056,1.7112100535887311,1.89709786108707,0.39509359330706323,0.6420109516233602,0.7442372311901456,2.365213174183041,2.252649728779492,0.8571217924685499,0.356209807728611,0.030928335181447407,1.2098801251496363,1.3073197391236524,0.7569795608548783,2.398614895001767,2.836842287542724,1.5315647001833403,2.31400937638274,2.006721137611795,2.472321064640826,1.9129052253054224,2.0485773962948817,1.5299137846750863,1.5417342927220212,0.011943185914310902,0.0,0.0,1.3454300703054922,1.4721596540436341,0.0,0.9848260129471617,0.0,0.4642118074432716,0.12161673174730793,0.919322210243378,1.4272355925678815,0.991261784918727,0.2028999582901181,1.3576318758764887,0.0,0.0,0.3888050257305397,0.8035237093414427,0.0,0.7570804133991959,1.5336563280961084,0.0
G2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04971946032107722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01646642737902826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5176076882681627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6691281162913857,0.0,0.0,0.0,0.0,0.01453035476424465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033550933539576624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6470684523395149,0.2023626061938245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G4,0.8616014888050806,2.174603094716984,0.04936387725842866,0.0,0.0,1.7662119561411171,0.0,0.5769027452188678,2.4290835299253994,0.99853650788111,0.267864490350074,0.0,1.5104924588596573,0.21763615122011834,0.14379721923060634,0.04326370404148022,0.6780876513100245,0.031168295529641427,0.5858228976285232,0.38883991924995204,0.40218328960568395,0.9021155279652479,0.9304029368361099,1.1736569984292626,0.905214974332406,0.5229900146191201,1.9971540615190992,0.7376304687912505,0.7863309727713531,0.8693002797347781,1.7635240496710425,1.1908764688785465,2.3322157465109705,1.0220168600382473,1.1478879762310776,0.19802163393663744,0.33232572307268793,1.1733465133341907,0.11866809854378649,1.8022920558605222,1.3553252897350863,1.276967969972104,1.053632968158405,0.0955555887475407,0.9760968728047079,0.65907647553265,0.7987598408873289,0.6589398178307585,1.1733388949972652,0.29000514481440826,1.0146887199861498,1.3048882058446807,1.7833564602300107,0.026001745929680825,0.9710468748552866,0.2885140369571895,0.4410563004788405,0.5917487246294362,0.36202742606088095,0.5537399689381342,1.2392512621270577,1.0809582437557232,0.9313008599255996,0.32489078762110346,1.5247785449325932,0.2898814413781125,0.7093833237752376,0.9449197372737538,0.6492538318770787,0.0,1.7295098822530752,0.9457854450436654,0.806466769529519,1.0711902111981177,0.3155701510073773,1.5861266704196564,2.042993998141883,0.553497554663477,0.7061251781732112,0.06290086378880295,0.891445176590886,0.0,1.796615979687843,0.8965339247229932,1.8266710007243818,0.41147260914511835,1.1260401209880806,0.9802910020661043,1.5969441532878434,1.3950687915147064,1.0080329023137424,1.588351173318666,1.2271575094066045,0.8881989471527858,0.8907747998335686,0.0,0.1310547775181909,0.0,0.8909136615280783,0.7290382570695038
G5,0.0,0.4512296025494286,0.0,0.0,0.0,2.493031273411202,0.814756749190776,0.45212985777943676,0.0,0.0,2.075674887915975,1.1734344387227416,0.4642478117120379,0.9095818936024156,3.179292331471221,0.05142992810129768,0.7927444172196261,0.0,0.2205948065353134,0.1518356189677165,0.010794004195842014,0.0,0.0,0.0,0.0,0.0,0.03453318436651094,0.04945981828239811,0.0,0.0,0.0,0.0,0.876562254746186,0.0,0.18633815450983496,0.6388057648057405,0.0,0.0,1.35813496660457,0.014179934204049385,0.0,0.13407208988404068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6066619326502957,0.0,0.022828163635048616,0.0,0.0,0.0,0.8643634330627284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02531149853919821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6561530130379923,0.0,0.40892946114537965,0.0,0.43961686416993156,0.0,1.1881382608183384,0.0,0.7344991383431242,0.0,0.0,0.0,0.021623025771822867,0.0,0.32131714928036703,0.0,0.0,0.0,0.8334539948270442,1.2055115351390961,2.2416901724132554,0.6394388913070733,1.167648585921412
G6,0.0,0.09630680859142929,0.0,0.0,2.1984948880190083,0.0,0.0,0.27527788235624806,0.0,0.3737769180662309,2.5740914242909714,1.2415831687018484,0.0,1.721157572260073,2.3712720645459413,0.0,1.2514314358731906,0.0,0.0,0.0,0.2641520823795824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30648893185597165,0.0,0.0,1.1343016420770748,0.0,0.0,0.28198550358240565,0.0,0.0,0.008972549263462281,0.0,0.23901312359245722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6679473405162238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2998449480795537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2371451209294737,0.0,0.0,0.0,0.28115233434315057,0.0,0.0,0.0,0.01389056484364037,0.0,0.0,0.0,0.056065575779094844,0.0,0.05450600920735328,0.0,2.61224459379288,0.8643227159099187,0.0
G7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39487265369983693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G8,1.3198202866262618,0.0,0.40791052091080643,0.4986128471342676,0.21556250318972464,0.3703833169419032,3.2352848232097755,0.0,0.0,0.0,0.4066373441273659,0.26433671968086664,1.3765298575296854,0.0,0.8695090585828695,0.07606854749195704,0.0,0.7213679490339661,0.0,0.0,0.6505557429348283,0.7747733559019385,0.5479693283458185,0.7363684342554997,0.18524990332165495,0.9328324069192857,0.0,0.0,0.7039151905038332,0.0,0.0,0.0,0.0,0.0,0.0,1.0203968022655334,0.8950416264804323,0.0,0.0,0.0767409827331659,0.7424622541718552,0.716389881875848,0.0,0.0,0.0,0.9540720401589284,1.2699895466661162,0.6733733946699081,0.7409261893454646,0.5471829253197895,0.5007086470397119,1.0879660466965935,0.7534427134773365,1.0451228241581143,0.0,0.6283792300139438,0.26432295893310204,0.0,0.0,0.9718383207368997,0.217391089079102,1.088871376224303,0.0,0.0,0.33329039123674425,0.4885534820713586,0.41350569880911375,0.0,0.6255215843516163,0.19251041495528828,0.72992725709738,0.7754428572273554,0.762462679098566,0.7333944956098397,1.055229222529913,0.6177701537943936,0.12712241699775995,0.0,0.0,0.0,0.3235446015789666,0.0,0.0,0.7563519901017018,0.0,0.0,0.0,0.6519060845561223,0.7241222360202038,0.8235893554664676,0.0,0.14705973923607094,0.0,0.0,0.0,0.0,0.0,1.4854766199342806,0.0134419742237296,0.0
G9,0.0,0.0,0.0,0.750881778926075,0.0,0.0,0.0,0.0,0.0,0.6768549392245072,0.0,0.0,0.7216373174350235,0.2435846336980658,0.0,0.15189392060381116,1.4120418849887921,0.0,1.0510597642740367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21577159296528028,0.0,0.0,0.9245697780489046,0.0,0.0,0.0,0.0,0.33572950277438435,0.0,1.0171849578942547,0.49517077346917665,0.0,0.8473321276673184,0.0,1.4889155173271271,0.0,0.5937309909974452,1.0759240916638442,0.0,0.0,0.44008589395959635,0.0,0.1278952376945287,0.0,0.018163139716875915,0.0,0.0,0.0,0.0,0.03705333133715621,0.0,0.0,0.0,0.0,0.0,0.477925087658881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13172338578498136,0.0,1.557382201442023,0.0,1.673157886801765,0.0,1.102304907537303,0.6477127936375456,0.0,0.08165699360980112,0.0,0.0,2.4093338341767607,0.5786823298416074,1.5452303492864108,0.0,0.0,0.0,0.0,0.0
G10,0.5472551878911477,0.0,0.3228185438657927,1.0890444686714096,2.1388323733481713,2.4195069052874607,0.9483157879968656,0.0,2.656514712027885,0.0,0.6873842453215592,2.948198154112653,2.189139157874004,3.9947196765710666,0.09131752574919494,1.0597037421498274,1.9491301163509043,0.4873960868925023,0.769245180604793,0.7172615061085914,0.0,0.0,0.0,0.0,1.3074714920803794,0.0,0.07526203407617274,0.539240346891577,0.0,0.6691099322027267,1.4296029517357807,1.3177794267904352,1.789690841521581,0.0,0.0,1.1979333919611248,0.0,0.9642181184774417,0.7206155622321836,1.9015299998708466,1.4323281901515823,0.9712581144654248,4.2932186463608275,3.2085026524685163,2.562753909473577,0.0,0.11098432498532736,0.02198371145855871,0.6048259419966324,1.248685731530364,1.3306758937014986,0.44868546108162016,0.4493062378728571,2.0476905368210474,0.0,3.8720988497119904,0.6186222261275367,0.4050727296410635,0.6936216040854455,0.058432818674783796,0.0,0.20230144135007902,0.9487420824329933,2.460267617060285,0.9168370749354569,1.0787576959043739,0.2462625746678105,0.0,0.061610382046213254,0.0,0.49358260926418324,0.0,0.0004400315287433758,0.0,0.3840408798090409,0.15099935631132314,0.24180640294164693,0.5152605121453784,1.409871144498803,0.4384476331329023,0.8055475915825172,0.6319177974411312,1.6036387444844673,0.7158391480194272,1.92609407662468,1.2753431311388186,0.731509983085381,0.0,0.2899935448769272,1.7631998782270721,2.4689281215614756,1.881513446731131,2.830770409369456,1.826052790866513,2.3819203110328346,0.0,0.0,1.4054463917056164,1.3431071807202226,2.0105781962699227
