,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,G33,G34,G35,G36,G37,G38,G39,G40,G41,G42,G43,G44,G45,G46,G47,G48,G49,G50,G51,G52,G53,G54,G55,G56,G57,G58,G59,G60,G61,G62,G63,G64,G65,G66,G67,G68,G69,G70,G71,G72,G73,G74,G75,G76,G77,G78,G79,G80,G81,G82,G83,G84,G85,G86,G87,G88,G89,G90,G91,G92,G93,G94,G95,G96,G97,G98,G99,G100
G1,0.0,0.14256382153700772,0.08385270721956707,0.2601653837319535,0.16936646223244273,0.22331247489481712,0.10343931559155059,0.22481377916766454,0.12249949370135968,0.27359626036613466,0.18896230839757444,0.20948321993804547,0.07912724715850902,0.23448106429298568,0.15587690306380336,0.3087177634702706,0.17761613744465068,0.22205388108402097,0.0893160617249899,0.06609477887761718,0.16046682797732437,0.2499163776405342,0.3725689673479728,0.3133893144186042,0.30882053004039833,0.14412101816968434,0.14038670382185695,0.29326944832909396,0.44717744798230824,0.18581678904451268,0.1613945456483194,0.10973883429304994,0.1239330709629296,0.1285569005622122,0.12372771610939617,0.3312175941544141,0.43213761056809985,0.11565257435028468,0.13789167720776407,0.13989984470339065,0.19942162123432877,0.242350846706343,0.17079664249193013,0.23971889311044373,0.1266102137060535,0.2518487532069545,0.30023446651641916,0.418935689069415,0.30632549131137926,0.21647614328842793,0.244344133672998,0.24019517818693098,0.3208370561873015,0.13337478632611083,0.1469873165382382,0.2872411790497894,0.24498084508132084,0.25548861736369444,0.23217460669757856,0.31017136542103274,0.343348355560118,0.3012873331814722,0.18617748033128623,0.20966875170173813,0.23786400049753617,0.27072419148052246,0.13291565307455538,0.29763837545929006,0.4291189515417502,0.1527591983069755,0.43095041011888435,0.383441147213189,0.37507291153065403,0.40119525775339004,0.3482040389951575,0.3525630188720284,0.3639681929973734,0.12699424723944153,0.17769516367620855,0.08289685958233799,0.23389105212390596,0.12919087345323832,0.13357306448310302,0.1918973015559489,0.1296765637699133,0.19332745758384795,0.15573801749934607,0.18108717976016764,0.33551639970700425,0.24389007389746076,0.1426291590090893,0.16430367089707557,0.11842585548452922,0.14366669285961428,0.191805856909051,0.10638525088656794,0.09093866503486836,0.1581287486001569,0.21618963163558966,0.1557257625897259
G2,0.2029366112854635,0.0,0.08103665115647098,0.1904575054109,0.11866060774024183,0.12122823470048688,0.07089234546594306,0.1299497314533558,0.08511915657448305,0.13936757786315818,0.09291857020549561,0.09334515401158733,0.05555871438768277,0.10645602519396052,0.07165609103776797,0.10272081325891749,0.09890646137766916,0.10494410449224717,0.07493273481180282,0.0969719820306836,0.08212786457795827,0.09045242563883359,0.22000963948805857,0.16133817287693697,0.11765154943923019,0.12572618940134986,0.13770826429734115,0.12046192646205524,0.13944604629146737,0.13483915338195507,0.11382011808918577,0.08720740491464003,0.09469026240536058,0.07666405015176625,0.0975086621711379,0.09131708826061907,0.18097986486544856,0.10140586196825882,0.08413581177417405,0.07726740837490881,0.10765208576124767,0.16117096303264417,0.08532973576286981,0.14110135366347487,0.09621592046022294,0.07853747448609177,0.11931032998425982,0.14342602067716054,0.12527076223419725,0.08920899852868708,0.12856497031963326,0.14944200668142665,0.12078273211458278,0.13631779945814476,0.0831212762453664,0.1236823798925338,0.15037420711005173,0.12143659118071659,0.12524755792774353,0.1504573709933248,0.1318968726369204,0.14053506563890766,0.14534728798666285,0.12935739188129206,0.17502418565927394,0.16067503229673982,0.07188779433057728,0.1629789791912612,0.1593528963408012,0.052599714921334174,0.1368751975203033,0.1585718757238778,0.16442593658457466,0.1693917445600305,0.10760753657098132,0.194683739783475,0.1640792408998942,0.09681799084675873,0.08605032776897305,0.06513451675078434,0.11601572434920299,0.05968775231019798,0.10075730370453725,0.14807242063922385,0.09508417750211262,0.20048723373466837,0.1232757750170882,0.09018582544439085,0.1726333351869708,0.1339120016154487,0.13622514554106435,0.10872305434268724,0.06243555482826016,0.12948724086175056,0.09559399559288684,0.07738080702245989,0.08758717318405956,0.12670482370154004,0.11088345524258474,0.14628925324215275
G3,0.17709725819122832,0.0915024291543619,0.0,0.14627925543869283,0.09351011404603232,0.12334299615929667,0.08539617323356072,0.1426065281581542,0.06247569264914357,0.11296865703006484,0.062147112995958875,0.12099596104274578,0.0666159783229513,0.06735462496030803,0.038512235382112146,0.10187478824123096,0.09657574070359407,0.14263014599314397,0.07456826379085506,0.07132094478180918,0.05540922225135068,0.17798464238115724,0.16327621619579935,0.14982926580861872,0.13610035273646953,0.09196938157221453,0.10977635437570485,0.1297222686597146,0.16695045300239864,0.0880203315288457,0.11845122010733396,0.06645676726992937,0.07603160431339741,0.052437694070485326,0.10168902385397405,0.15018046551524844,0.17231352112392867,0.09952843162889875,0.07286234195942917,0.11365263280920221,0.15461131841694425,0.1534917242299449,0.15465879626085355,0.12010893042466911,0.1145038958131636,0.1524334508666399,0.15180919985679417,0.15706777748388695,0.15094252716612228,0.1103846365269649,0.14505586684255162,0.13879352497647346,0.1715881322501253,0.07166154565319849,0.06271415379186496,0.10485273602755966,0.1510581182395229,0.14265219211251065,0.09565082241284437,0.12018219128953087,0.11359281360841457,0.18413657638310932,0.08893239944225786,0.1421201791558906,0.15958909785592212,0.14697340000374776,0.05969904662987914,0.1282359656923155,0.1670818019237951,0.05816909198556079,0.1717509315667216,0.14404175331186847,0.13917718792899403,0.15359473115980196,0.1187209662606494,0.1956389245714459,0.16468279822419007,0.07758258717876135,0.09179328512297612,0.039782152818419604,0.14011166411938328,0.07045647855714213,0.07697248214016453,0.12752152052417948,0.07933107089671172,0.0956383410735162,0.08881774587524655,0.12533578602466805,0.15718123619914046,0.1258730295852025,0.07338447074766832,0.06562311176927582,0.10201907687389242,0.07879221716931845,0.09430120706542852,0.05126985485360246,0.07905111483489817,0.08317138032622531,0.09507836950556063,0.10496253382845996
G4,0.2807925023072153,0.17376931496268494,0.08665065160324446,0.0,0.12451281707557658,0.21090093478503108,0.08455286989058117,0.18538709121453392,0.2483099656790864,0.25396577755759675,0.11870844167396312,0.1472356510020592,0.09401318748376232,0.14345053715265094,0.07506243386636392,0.17481871928398285,0.18087199656205877,0.1576399416581376,0.14457668959298042,0.12223511593164808,0.11249526342206245,0.2340210077074599,0.32286741507616573,0.3273060053080376,0.23827685320788708,0.1513720192010694,0.20714976663279153,0.25481074485630606,0.28672826600303886,0.17890842297926263,0.24744050580114807,0.12729089288656023,0.1583275331027069,0.12813503181716163,0.13928161851462417,0.16573981002875915,0.2509097028395223,0.14616704563038987,0.1390584677204439,0.13767267628834576,0.21523053135721126,0.21567338885012224,0.24565969614242972,0.19795620890951607,0.1758566581866349,0.1944195224334457,0.25566174025320154,0.2868675803488921,0.3082956799881897,0.18613616933197447,0.2536292597125129,0.24724076546023982,0.33406351569078846,0.12056527080205323,0.13029508317071362,0.20420340200644171,0.24810286125699563,0.2526332610761299,0.2088003806539086,0.22048537096678011,0.2807808860482133,0.3171644661296391,0.21543139964595368,0.22662131544281605,0.251689290603012,0.215908925407294,0.1312673959263559,0.2212647910812452,0.26337377517550514,0.08222434380933596,0.3836444491729207,0.29099246480128343,0.24708546483444815,0.32351109028555036,0.24688328404755652,0.35677401426291344,0.4073998578872466,0.1488961733964715,0.21880630537955517,0.09219536614574039,0.215496686904082,0.06893310778144895,0.21216177959546065,0.18862639825738475,0.2180071566361759,0.19148175017937447,0.19485788225530382,0.18342482338680624,0.34903860507779066,0.26342921391743834,0.16914372569358865,0.1717609558720237,0.19390126151885922,0.22723169085465122,0.21512396719864146,0.0822754422369471,0.09437073106681397,0.12548079481059715,0.19339659309877377,0.1910814193151103
G5,0.1504196099223351,0.12898760540497795,0.07021814961953399,0.11779685008010066,0.0,0.2372372469341735,0.10477322215410795,0.17938575745039065,0.08356419085009348,0.18637519838381109,0.17289202011740384,0.2166269596132291,0.07834700430878477,0.17334001657019515,0.15941650172445673,0.17537559655956797,0.1849134159496688,0.11455990403257188,0.13020103185128928,0.11222496588723238,0.101765180167787,0.11293404861237016,0.16975463375401362,0.19010232772172225,0.15510628169569823,0.10988667267163216,0.1489618628746066,0.218685471817664,0.19132203271053977,0.1342857880194026,0.08552829282131325,0.09259000439150317,0.12424819061098874,0.08407807730417341,0.11537122276553871,0.1892475206280605,0.16836289698644086,0.06494643205203739,0.18930494009716545,0.09727202691720299,0.07230341937507569,0.16709080789627387,0.17742084731009045,0.17281649499426963,0.07720429322677207,0.10430623114503808,0.17139848747032102,0.15924390280665074,0.1903349349689583,0.1515254350559763,0.15046406942832322,0.12474068872237032,0.14328186380980448,0.13875236067528096,0.07942279235381652,0.18663965989269882,0.19301182122143384,0.16221838247698694,0.17701528831974003,0.236263988047273,0.16382844710277247,0.17422985239924432,0.13312930397586564,0.16027642820770754,0.18030573505942718,0.14150209848122347,0.07231560954547607,0.15358886189492665,0.20206504285980104,0.08987551590913687,0.15880381997592305,0.16721275879791578,0.1450474481805228,0.15088615696014873,0.19180166153318423,0.1826133663690891,0.16494946570716842,0.15291107404650867,0.12877704100761855,0.10759840758237693,0.16990059299783292,0.10433411626348343,0.11233054339707763,0.19940527379810505,0.10096824847320442,0.20276911924696267,0.1389069827054756,0.10052420879081037,0.1537018998266695,0.1909639549971261,0.11024308277139803,0.1297300720468105,0.11711635025456078,0.13084344152899519,0.11814663947535137,0.10696572773267417,0.11344341423523231,0.20479758261797762,0.1843353355609721,0.2074125275192394
G6,0.1528765057652901,0.1196857551648853,0.058683642621244064,0.1131090359168454,0.21348985932388442,0.0,0.08570321200532177,0.1699380190398929,0.09024314034215769,0.22105968918544708,0.1877358619058322,0.21922345880767427,0.06832938185683601,0.20714277840465614,0.13749189115722096,0.17141649225498898,0.20108062175053235,0.0971055557752392,0.107734329397074,0.07691763508539996,0.10871758322480721,0.08312473375558886,0.18264519797662696,0.17874241257753054,0.12740933530895404,0.10183277914138007,0.1000357819401377,0.169139799016795,0.18443847263890464,0.125941655510586,0.10109265927598161,0.09459831662664771,0.1082140605146096,0.057141195001180346,0.09698933199863663,0.21279879728962478,0.14498244849267067,0.10931729144480702,0.1472746595537367,0.09067743350488248,0.09831880187942725,0.1607937482376575,0.15509045218546294,0.20588317471679396,0.1281665591047723,0.10406318082414354,0.1160484576777811,0.17071693464780016,0.14654146599895185,0.11154192907082794,0.13286718656074706,0.08733843258201501,0.15776328829100822,0.11697705111187136,0.061168228919809664,0.22441926496458156,0.12830834864179547,0.1673633493061475,0.12212169266017736,0.16043412420181044,0.12405809105527313,0.15496506775021035,0.1166020666931428,0.2252535672348487,0.15683763090583458,0.1475207221167043,0.09058220314102275,0.14945500449894322,0.13683188043327357,0.07259151538288872,0.1795307821752815,0.1542460081527712,0.15850344759736587,0.1490447763490504,0.12333635882259311,0.19543515169394693,0.1529808168479035,0.06847300566965117,0.10466813143769634,0.05538223810631275,0.1646252266093263,0.12355001111714768,0.10837121509319372,0.1505141054252704,0.12552936300868478,0.18690831206451514,0.12535553746045744,0.07336919468069894,0.1465779150402367,0.19046472197639025,0.11749377516266249,0.11475159053463438,0.12957549506651952,0.18076030805808013,0.1626715418532389,0.09134564788349721,0.09105706059018095,0.21638435216867435,0.19244534310988703,0.15492315255999772
G7,0.09379802439662574,0.08682153128745905,0.05712471148708156,0.07237400499028082,0.07484511066362631,0.09446808620533437,0.0,0.08745129169115412,0.06799596766602621,0.10744551654836763,0.06987271861834915,0.08245861395634735,0.04023391979656047,0.05870163057535169,0.0327786320002511,0.05403136262299524,0.06984076572521238,0.09921549846020515,0.05627906383610939,0.044567063588045165,0.046389499813945495,0.11024529269185909,0.11413603595668104,0.1045658513530894,0.12247223508677549,0.08495533647974962,0.08301204170771444,0.08643114739274997,0.10864204345117408,0.07680762807913483,0.11332393966472057,0.05733162810026832,0.06161459904285166,0.06280652693237307,0.09623363737850729,0.08915138435180024,0.09139550289709618,0.062260379785849335,0.06079633690955896,0.10734364823018988,0.08249230273123374,0.10127767928517362,0.0827229808102334,0.11838527629546583,0.09427287663747104,0.07350065579608007,0.11953507037691864,0.12853519878667594,0.09503014193884374,0.08225922634690372,0.11573936939018328,0.09881327326813233,0.10556965204980934,0.06710408088433747,0.08153794011152402,0.1356141159262856,0.12036942184558042,0.09110395109500319,0.10841796577962545,0.09947974953850366,0.12581973079099806,0.11737346603853926,0.09343537655231338,0.09339589328827926,0.09132618941186527,0.1425450016069972,0.08223531184687267,0.13103582567692462,0.07367397594516689,0.03875386869647036,0.11338720394936885,0.10461964009102774,0.08040190139884257,0.09137471057269309,0.14171110307438128,0.09394100632635125,0.08436616777595389,0.08963796491568718,0.15139656015767206,0.03650381272847187,0.07893199216845766,0.06361254245315065,0.06071098082921075,0.13084076789768515,0.07986666400423077,0.10636911536507368,0.0836207548575579,0.06233844097138199,0.11408717986168715,0.11528046543291245,0.10221805216483651,0.10535154847355256,0.07029455553819285,0.12020681909218651,0.10838560588754981,0.06605834633829145,0.07371547299459073,0.07469272728141682,0.07452067374314589,0.08540142437445075
G8,0.3136107185031506,0.09892733746537977,0.09713071178863687,0.22504821730883237,0.15074844872546542,0.15216390121033102,0.1512244881216503,0.0,0.13564026517427347,0.19591988235757718,0.122992035496746,0.18198889841143187,0.09203119474532093,0.11564634697587334,0.09658840799898014,0.17694262259582394,0.145895174918711,0.19367857272103917,0.10373617603272312,0.09099380574653117,0.11929251117920571,0.22593590360218746,0.28643720710165693,0.2920801032498086,0.1992514267520494,0.1638327329959563,0.13941077698857884,0.19237232679079502,0.2801265179317484,0.09381307709932929,0.13713731326324424,0.0979309676837638,0.09517813985609426,0.09436900990405739,0.0910735452732926,0.2075872689394423,0.29280730030318514,0.09717904637321229,0.10472366467118371,0.09892714443708409,0.18542226152426067,0.19382556486632296,0.1433840526846262,0.15556564881406698,0.10649317157952708,0.21047928690927037,0.2871827809094627,0.288044451785012,0.2807883465442022,0.19816957700385682,0.2239305526281142,0.23553829270120138,0.2649304152481462,0.1504740498782649,0.09431577678966327,0.22236780242382748,0.2360838432974035,0.2138478849326695,0.1472125553637124,0.24162716333361922,0.21693316410934987,0.3177255516243274,0.15172331705966893,0.19345583811268668,0.19936336940784094,0.22663891602168068,0.1201055413946958,0.1573373414359052,0.2615705970968209,0.09821896327800092,0.3027159800562512,0.2761006204804067,0.2436843393515106,0.2920851431625225,0.29015785662304977,0.28389650936822874,0.23211385312777305,0.08874963555256185,0.14161497551027374,0.08577011437682805,0.19160918620613202,0.08795219337668717,0.11256309728349245,0.18341254128408713,0.10436093182449427,0.17323051388882998,0.12815468600556823,0.17082778358757453,0.27920201465802896,0.23571103302145377,0.10331898222616089,0.12225503303508618,0.11181736528068367,0.12390749530365223,0.13320263785013386,0.08528976847142596,0.08966313480399722,0.18111325033998368,0.1575145671206428,0.11581594036374346
G9,0.10606845342752647,0.05843403263707997,0.06235025333338314,0.2386013644968383,0.08468102325490506,0.12565019434135563,0.07857085674317964,0.09903328700567328,0.0,0.2370881820612079,0.06485579952161158,0.11382752865474827,0.08227848808978766,0.14471852087399317,0.012712702176715794,0.18107442932001117,0.20674150453678716,0.10236196091157569,0.1628642260884085,0.10336424510409431,0.0631882224499778,0.12780819932230497,0.14145783338321322,0.11752203787247818,0.16965531864300165,0.08877049486347224,0.14405283487758985,0.22753800922921436,0.1338675184111733,0.11522195350647915,0.20966567448489887,0.03372419073893956,0.08306751300251564,0.05451854216931406,0.08716734068702349,0.17309679151545312,0.1574194745782041,0.14158724344166146,0.15602966442938204,0.0705044020149074,0.19066198519458988,0.12358414320913637,0.26914599686302976,0.18574020215063225,0.1606857197158335,0.21705502290900752,0.16417571462275746,0.16674402536654848,0.2616224459976068,0.12493793203542727,0.19938925143301767,0.14177422641791554,0.2126923953164136,0.08934229129062324,0.08658185843237504,0.16859214389768873,0.19594767263041146,0.22036184667475067,0.147546957180058,0.1352789991477333,0.08809891698471994,0.20862504595020273,0.13600219998427238,0.23496068636923234,0.1308996971418971,0.15264693716127758,0.04999451264614934,0.08854487286219771,0.11879618158675886,0.024417368098601188,0.17966559994101222,0.09106235767615688,0.06772085424958557,0.1155297736899131,0.17235913546768813,0.17118302113606626,0.141225090283777,0.0923476670008746,0.1763534336097598,0.07798443415462936,0.18153344398335702,0.039872105086101436,0.20325295932122833,0.143989277186574,0.21223946988849604,0.16645791173656627,0.19393705361033764,0.17066678602415003,0.1869078076530486,0.19483994472263216,0.12465793687135465,0.11027584490557003,0.2420668775502279,0.21143924033080796,0.24520005926726793,0.07912972368266899,0.04823550848444012,0.0577227636933892,0.09358669456406762,0.14595868162123135
G10,0.25825740552968496,0.09220031283057521,0.09464353457888346,0.256731084331974,0.2116032817175586,0.23460970324976305,0.10733801866806934,0.148433903306106,0.25822577455786644,0.0,0.1314641780721751,0.28424599899268554,0.10403191621673635,0.30148985920205673,0.07316226288430185,0.22756551529366606,0.2256715766048866,0.182503120766148,0.1517875937617633,0.13516529453579895,0.09987475763034506,0.17059398677948764,0.22318854058121015,0.185201333634552,0.2582937199337626,0.10643445064464284,0.15016985949033443,0.24445056439497698,0.2119281831011554,0.17203344312445137,0.23250741509706818,0.13016217595144383,0.14582465444698786,0.09314610844043614,0.1037433613141126,0.2156851270101346,0.21129405998449374,0.1400330004334309,0.16484196826933808,0.1396707974526314,0.2188971489449436,0.20386589940125943,0.42043645310062516,0.36489127693554907,0.2383352493410634,0.14393507712045933,0.20943012144704348,0.2308453233358213,0.27212329015379355,0.23092447024546844,0.2716404742426159,0.20104776285383186,0.2444500459673109,0.17687842569376383,0.09978166555798247,0.38760110282418897,0.26015350037572404,0.2420209698831058,0.2293594255686763,0.19114179127847922,0.14808639097614645,0.2544797199867885,0.21631353521300398,0.34265087198307154,0.22499732717333681,0.25842345111993215,0.1136340625240742,0.158629605317417,0.21684885343264984,0.08121033934339278,0.28355661342306104,0.14691376434931708,0.17753956363214457,0.20627971031950443,0.2508993521106829,0.24562728095005967,0.24502174908977276,0.1474003878768678,0.25507459450744435,0.10873455605220604,0.21199041468980023,0.10899184116409553,0.2049756803857979,0.18189917208054338,0.2217426059278175,0.22163352427775895,0.17954806150319474,0.1412477726133551,0.24301773834861246,0.281152556773964,0.21723599957709155,0.181217303230717,0.25923114129982905,0.27454635972229,0.28356552544394115,0.08922086640717689,0.08394424253299715,0.17860108840414532,0.20945783825358905,0.23878463399089148
