,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,G33,G34,G35,G36,G37,G38,G39,G40,G41,G42,G43,G44,G45,G46,G47,G48,G49,G50,G51,G52,G53,G54,G55,G56,G57,G58,G59,G60,G61,G62,G63,G64,G65,G66,G67,G68,G69,G70,G71,G72,G73,G74,G75,G76,G77,G78,G79,G80,G81,G82,G83,G84,G85,G86,G87,G88,G89,G90,G91,G92,G93,G94,G95,G96,G97,G98,G99,G100
G1,0.0,2.2157288256211536,1.852330504701043,1.4773579533531078,1.0688714785492155,1.360205834328065,1.1623946052475427,2.5081185817994984,0.0,2.2554122206957667,2.37899269582232,1.5796658063979172,1.4567432690376945,2.4433308667762472,3.292368282943793,2.5762414947205787,2.1745773573011538,0.013788924999347,0.0,0.0,1.6263030524396074,1.2030681899842497,1.381422345118238,1.2976161588059403,0.8170361375453442,1.4820942173551281,0.9077160915068627,1.2674435492789855,3.476198891360785,1.1083057653584238,0.0,0.0,0.4821063759499062,0.0,1.1284862048943745,2.480613376520245,3.071264688409986,0.4087003134532891,0.8545204999549871,1.1409982400412584,0.34986503779754524,2.5576476443821567,1.4045688079291,0.8511606306118126,0.0,1.1111648559397382,1.4388567184570684,1.8345571547872837,0.27722083994570706,0.18818900141660755,0.3663196234785248,0.82402982977901,1.3350681022883768,1.2510663037157845,1.0953768934699732,1.4605738764973923,0.04254566915356088,0.6918550045145406,0.7090509001794854,1.7541558565122195,2.9993277452765885,2.200678454000205,0.0,0.8895049094346973,0.08223308236703555,0.11675744869719323,1.2357798780352829,0.6275750331510033,2.055144811980641,1.1231725850321044,2.9493445588982055,2.3333470226646718,2.2452024920259395,2.1473797016362437,2.6513586798343205,2.1543654184662535,1.5825198896120962,0.24304717203621545,0.8904586068242976,0.0,0.7359361496124865,0.9253782159272865,1.330206239018138,1.2170804006550902,0.8998320529158089,0.6251944561819058,1.6692072841442633,0.59000568450061,1.5417117438874155,0.4933928570017738,0.6949646156675635,0.791075313809699,0.5123895675512258,0.6522294860949185,0.1891283107848367,1.2639662276233579,1.8987676244116691,1.2435611056843323,0.7465736675219429,0.01234408790887574
G2,0.6279936915586015,0.0,0.6887859251644997,1.3172523452288467,1.5424876663767093,0.7722900561704072,0.8134002091343461,0.8583810141606798,0.0,0.0,0.6693397764965622,0.9886084348106055,1.7610367907399262,0.0,0.7189800082805187,0.35335369379362724,0.133324431819689,0.0,0.0,0.0,1.081940416258786,0.0,0.6680077349929934,0.9323072885327314,0.0,0.3386039241863976,0.8296484421592304,0.0,0.0,1.171044059284341,0.0,2.048399851336486,0.9511846563068228,0.49199861667533723,0.9059045742409809,1.1025179129718115,0.0,0.0,1.1123784036778774,1.5285519954888005,0.1801278269023216,1.0242593728921092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07508292287020978,0.4061651232861598,0.0,0.6541997339944465,1.4162832069770703,0.0,0.0,0.0,0.5502353814728329,0.1699520908057026,0.1202239767583442,0.02122707584148726,0.21909395940269485,0.0,1.5760340884936233,0.0,0.8527242500923752,0.7222131715973129,0.6695814489291751,0.0,0.0,0.12119628436832412,0.6254037117654676,0.2628919260738978,0.0,0.6410035811421444,0.33372833226397847,0.3311793724201809,0.0,0.0,0.43652112740492144,0.0,0.0,0.7278602535892549,0.9247239986634811,1.7534201145291775,0.8353781156749026,0.1729542802980851,0.016841528180985377,0.0,0.10789117164566184,0.9120899047483817,0.0,0.0,0.2904866379653125,1.8231868140407417,2.7105581360117226,1.5953807756726786,0.669272890828294,0.029180819541629443
G3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G4,1.005808469987517,3.0288605945115923,2.0748988374683948,0.0,0.36055769141497146,0.30193401955273397,1.4903317908038674,1.994392350715728,2.1426765046509333,1.9393379540331614,0.385616951786757,0.0,0.08879998573678226,0.35948324702135437,0.5286537542632788,0.301368866086291,0.7305143617720354,0.2824691019084703,0.538272558029122,0.8028534763291989,0.6444003907324608,0.8528506175489639,2.3455066480783247,1.8461228518098538,0.6726750727416637,0.0,2.261716066546096,0.23769519160824856,0.9442417577374896,0.4937678427320373,1.330970642363038,1.2474955245060357,0.6997645413736129,0.3540712659573401,2.561815633233761,0.0,1.2738670186430872,2.698850274726767,0.6650258755554216,0.0,2.1748682392492222,1.1753290630932187,1.2074283379487396,0.13694681751315593,1.4912770276918283,0.8997940603575006,1.2915152358884672,1.0804167267226914,1.0657715564593817,2.4197482658525624,1.845774501228236,0.8845378298611053,1.2330709092972494,0.5749499454970556,1.6369181746696184,0.828039142609375,1.158806302513922,0.6940029274694703,0.9175526578635514,1.3875722608022059,2.784780592326469,1.3239816871559331,0.8261184651144371,1.2708103391860137,0.310801940445776,0.8815995207542746,0.18816629174719313,1.9900574821911936,1.3739564102421296,0.0,1.7139565063614168,1.575369632388392,0.6970125072795005,1.3999178658316394,0.0,1.4177605229017327,1.3817707352710924,0.12055957541600315,0.6599133010666177,0.4966876152203853,2.5268331297787316,0.9016187195660377,2.3416028677354626,1.3058873050090372,1.0222756362710015,2.264784769454552,1.9457990197343404,0.719661207184076,3.2728911054099648,0.40598911065418763,0.9485564796099194,0.8275395484774699,1.8342669610150044,0.6276529402794518,1.540133878795237,0.9607350426504406,0.5384826416402212,0.01050503461231017,0.0,1.607331903166263
G5,0.0,0.9417141999152393,0.02188281742161977,0.0,0.0,2.370523060456111,0.3380576794800453,0.6027473762289609,0.0,0.0,2.26581206565206,1.4019717382026375,0.0,0.38710375613944686,2.5118653029881384,0.6399608900105113,1.7575722916401846,0.0,0.0,0.0,0.9447193118060602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4488998374978714,0.21308120213698106,0.0,0.0,2.325826216602334,0.0,0.0,0.5500358743293976,0.901243096834495,0.0,0.3990599942294584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37007425189624704,0.7121917015586643,0.46044105240804134,0.12171292933767042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8558882727051634,0.0,0.592616450400355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5175085770472424,0.0,0.0,0.0,0.04384644125818625,0.5722956105761566,0.39867604690392605,0.0,0.46219961500300033,0.06345119617761268,1.4007824658510801,0.0,0.0,0.0,0.4793789556610501,0.17500174204700292,0.7124498695264692,0.0,0.0,0.0,0.3343564080784564,0.7565215259937594,2.1668266025237286,1.6497059474670601,1.0470974675712383
G6,0.0,0.2720964637785643,0.31457431260343993,0.0,2.363179775556945,0.0,2.3265236862413503,0.24581968822853656,0.0,0.7465078278755602,0.7114140841300425,0.6357767758779889,0.45101761683289837,1.3645816782387141,1.9611346041141737,0.635632150295458,1.6813922626507776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36649030959169415,0.0,0.0,1.024833585057695,0.0,0.0,1.1824258030411041,0.0,0.8292542625372272,0.5084553939753622,0.0,0.0,0.7865515442041263,0.0,0.0,0.10515470706341279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31104648750812414,0.0,0.4015984979311097,0.0,0.0,0.0010276688223647618,0.0,0.0,0.0,0.0,0.0,0.02528866568255594,0.12179813460413311,0.40361916608718246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02831959580702424,0.9812936189898492,0.0,0.5238781461909224,0.0,0.0020873930910385416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4360456369669245,0.0,1.612283990371942,0.7083583483983806,0.7365415129852372,1.0390995809399317
G7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G8,0.7358823499450708,1.2869151306667699,0.2229467783502759,1.2855231859035623,1.4691588371501993,0.8121761171963895,0.7712433611769872,0.0,0.0,0.11392450312375181,1.3790253321166468,0.0,0.0,0.0,1.6131514361754276,0.7705026157001545,0.4932908445278798,0.630214127998978,0.0,0.0,1.663339353844643,0.803478220385362,0.8002043694857491,0.6892509142358852,0.33214269772645083,0.13812905999670091,0.01683043447848964,0.0,0.5080375685129288,0.8857664061859408,0.0,0.0,0.3879395329083554,0.0,0.0,1.282433594060331,1.410029617061792,0.0,0.0,0.0,0.6268764827101511,1.5850223433546118,0.0,0.0,0.29183487536999086,0.263783733546603,0.5495062870970561,1.1260850963865627,0.17020757739836373,0.3487426635152121,0.31813795726914923,0.8639469035636862,0.7680344069737278,1.6661381472377077,0.04510501671795301,0.0,0.0,0.10851609504646531,0.0,0.75712329830899,0.01737600307376701,0.9580767660692907,0.0,0.0,1.27006314162615,0.03506782797157159,0.4087656590057816,0.34176849190240294,0.11182644531705715,0.019078473577026623,1.0753796390129153,0.6954231691275266,0.29454079251162574,0.9136700419682566,1.506009945282156,1.1992297128067013,0.02975356311810548,0.0,0.0,0.1762174611606717,0.7895884828389711,0.9876110777358503,0.0,1.7150455082280478,0.0,0.6593546287035834,0.0,0.39045103959949656,0.0,0.16465813565302895,0.0,0.0,0.0,0.0,0.0,0.0,1.7276774816343015,1.1982631100033434,0.6411770699381799,0.0
G9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46884458609867874,0.0,0.0,0.0,0.16341512169955458,0.0,0.035846157434174526,0.43787591840864304,0.0,1.414040252383329,0.6624253211278759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9964794186356913,0.0,0.0,0.0,0.0,0.0,0.0,3.123333256725996,0.517952276976295,0.0,1.0946949712675262,0.0,1.3980411494888416,0.6118630616552734,0.430279263397646,1.4750871091782436,0.0,0.0,0.5812885461108386,0.0,0.6682334240899912,0.0,0.3300739303638654,0.0,0.0,0.07938557536646836,0.06849968498082304,0.3301790057365395,0.0,0.0,0.0,0.0,0.051420108077442905,0.4713193285194752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1709511432555776,0.0,0.0,0.0,0.0,0.20473669720590423,0.0,0.0,0.8107664169701777,0.0,0.0,0.016865175114681934,0.0,2.552388755288142,0.24194345058112657,1.5327706337376665,0.0,0.0,0.0,0.0,0.46586545020297937
G10,0.6689207894337222,0.0,0.12856290000966908,1.307598038338449,1.4229320871561888,2.255256186616658,2.5886167831334874,0.0,1.0956425786692932,0.0,0.152069189796841,3.34376788887812,2.1927337645062934,3.4840024485436607,0.3716539898392812,0.0,2.111714394608731,0.2199940204718988,0.2424534712285947,0.3601567753275183,0.0,0.10776631327650352,0.13584844483205608,0.22973431522458765,0.5438003581960069,0.0,0.0,0.1567037619884063,0.0,0.0,1.7517858069901262,1.8019505264995714,0.5716125251280567,0.0,0.004331084337795594,0.9252410961548485,0.10032690056022105,1.319178616339591,0.47952072585385314,0.4117619482784063,1.7505479452458301,0.0,3.829799203290151,2.5799727601927276,2.3475144050606502,0.06316596519724776,0.0,0.7150435658109724,0.8047925349156986,0.6673506368722931,1.4395236531481863,0.021775593831568466,0.8608890306401731,0.0,0.559343979834444,3.1011494663770263,0.8176097537301908,0.6385369850067996,0.6478750166875678,0.07689674385274863,0.0,0.1117052479791819,0.8719594869925531,2.416780222221629,0.9039178968994392,0.7356219700122799,1.1618013449580176,0.0,0.0,0.0,1.0600511135120918,0.0,0.5975922713879543,0.0,0.0,0.5402249605129082,0.1811889327447563,0.048076252362481614,0.2583976174402984,0.17851611487053073,0.9416293897320047,0.0,0.7003639846244846,0.8473766148126771,0.37131720036446386,1.4345032737574617,0.04293317965041371,0.0,0.7208461982702081,1.124231340991868,2.7289426075099974,2.0646364445701955,1.6010918025537821,1.8373605872369214,2.3690192270948254,0.392288812496856,0.6846001288534682,0.6643243058154785,0.0,1.9563466103469025
